,Position,Artist,Streams,URL,Year,Month,Day,Track Name
184,185,Britney Spears,2982674,https://open.spotify.com/track/7aiVBCp1ibIWE5GeHkbtxr,2016,12,30,My Only Wish (This Year)
185,186,KYLE,2979074,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,2016,12,30,iSpy (feat. Lil Yachty)
186,187,Michael Bublé,2978819,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,2016,12,30,All I Want for Christmas Is You
187,188,Coldplay,2974733,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL,2016,12,30,Christmas Lights
188,189,Piso 21,2974609,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,2016,12,30,Me Llamas (feat. Maluma) - Remix
189,190,Charly Black,2962885,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,2016,12,30,Gyal You A Party Animal - Remix
190,191,The Weeknd,2956670,https://open.spotify.com/track/3DX4Y0egvc0slLcLl31h2p,2016,12,30,Secrets
191,192,George Michael,2934931,https://open.spotify.com/track/0HEmnAUT8PHznIAAmVXqFJ,2016,12,30,Faith - Remastered
192,193,Dante Klein,2925768,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU,2016,12,30,Let Me Hold You (Turn Me On)
193,194,Future,2916084,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX,2016,12,30,Low Life
194,195,Future,2901747,https://open.spotify.com/track/78sr3ogs4UzITcCNbXM9cM,2016,12,30,Used to This
195,196,J. Cole,2900495,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,2016,12,30,No Role Modelz
196,197,Rae Sremmurd,2900455,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL,2016,12,30,Swang
197,198,KREAM,2871891,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA,2016,12,30,Taped up Heart (feat. Clara Mae)
198,199,Marc E. Bassy,2853532,https://open.spotify.com/track/4QdovcM8j50QPlyR7tH4xe,2016,12,30,You & Me
199,200,Coldplay,2847836,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,2016,12,30,Hymn for the Weekend
0,1,The Weeknd,25734078,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017,01,06,Starboy
1,2,The Chainsmokers,23519705,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017,01,06,Closer
2,3,Clean Bandit,21216399,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017,01,06,Rockabye (feat. Sean Paul & Anne-Marie)
3,4,DJ Snake,19852704,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017,01,06,Let Me Love You
4,5,ZAYN,18316326,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017,01,06,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
